0.000000000000000000e+00 1.093364172306564078e-16 1.899624409620100450e-16 2.835682297355399667e-16 9.999999999999998890e-01 1.000000000000000000e+00 1.000000000000000000e+00 2.536001473931517103e-31 5.973804022983720659e-17 9.586089817783929323e-01 3.157326087924310813e-16 2.847258682554020814e-01 2.721035950010497939e-16
2.000000000000000042e-03 6.869640579237036840e-17 1.023920611943734382e-09 1.023953839572349390e-09 9.999547462331764835e-01 9.999999993173711577e-01 1.000045252401578377e+00 4.999942294762767525e-01 4.828217547587681895e-03 7.070848023258112791e-01 4.828196215757096094e-03 4.999862296526139116e-01 1.999951167386594848e-03
4.000000000000000083e-03 -3.235753803781622354e-17 1.637891909297388451e-08 1.638104395236450192e-08 9.998189977380690374e-01 9.999999890797565127e-01 1.000180980422211929e+00 4.999769265219146108e-01 9.655178051572756853e-03 7.070188839152471427e-01 9.655007431781882990e-03 4.999449291928116379e-01 3.999609433049575689e-03
6.000000000000000125e-03 -2.281203675128327751e-16 8.288614940724416640e-08 8.291033499202553240e-08 9.995927929254927458e-01 9.999999447315925938e-01 1.000407096546429564e+00 4.999481168979897916e-01 1.447962656244877223e-02 7.069090804128957961e-01 1.447905091814167405e-02 4.998761304052711796e-01 5.998682365485576672e-03
8.000000000000000167e-03 1.462941194099431110e-15 2.618191499566414802e-07 2.619549026589131573e-07 9.992761957958889996e-01 9.999998253923148006e-01 1.000723455037740850e+00 4.999078434770610202e-01 1.930031231056464694e-02 7.067554824074070430e-01 1.929894847500622165e-02 4.997798861342583887e-01 7.996878471578247605e-03
1.000000000000000021e-02 1.103467198463689081e-14 6.387617303739881403e-07 6.392789086187947318e-07 9.988692959129579219e-01 9.999995739242972803e-01 1.001129852122093711e+00 4.998561660969897402e-01 2.411599077467786734e-02 7.065582163550665484e-01 2.411332867461845469e-02 4.996562701445951271e-01 9.993907661272487947e-03
1.200000000000000025e-02 4.860703082483486731e-14 1.323409945977394152e-06 1.324951766022537604e-06 9.983722083667649905e-01 9.999991170277154895e-01 1.001626026243758405e+00 4.997931613852776844e-01 2.892542572525558242e-02 7.063174442168294043e-01 2.892082907557985694e-02 4.995053768961018048e-01 1.198948170662519040e-02
1.400000000000000029e-02 1.675141584965047686e-13 2.449319082800785342e-06 2.453199647250140860e-06 9.977850737263292968e-01 9.999983653621089541e-01 1.002211658392664129e+00 4.997189225331584161e-01 3.372739123420541441e-02 7.060333629900276131e-01 3.372009840066099440e-02 4.993273212651733739e-01 1.398331469368360551e-02
1.600000000000000033e-02 4.875719750188801961e-13 4.173596818735875379e-06 4.182224654209633268e-06 9.971080579817315215e-01 9.999972136943036105e-01 1.002886372502004075e+00 4.996335590198368037e-01 3.852067364326245552e-02 7.057062041476716008e-01 3.850979866951571851e-02 4.991222382016530235e-01 1.597512346526596197e-02
1.800000000000000211e-02 1.251108944755445207e-12 6.676543983308578693e-06 6.693992056495479304e-06 9.963413524757508410e-01 9.999955410723473381e-01 1.003649735914611041e+00 4.995371962922532938e-01 4.330407348332038914e-02 7.053362329788563923e-01 4.328860727803668373e-02 4.988902823329603442e-01 1.796462805319824774e-02
